id;text;polarity
2707;Application of one gel packet once daily to either thigh. I have found that during one week of the month when the vaginal dryness is at it's peak it helps to use two packets. This was approved by my physician.;positive
2444;Effexor and Wellbutrin kept my depression under control - I took more during the winter months and less the rest of the year.;positive
114;This drug should not have been given to this patient. It killed him. He never recovered from this stroke- Right side paralysis and unable to eat or drink/swallow ever again;negative
3275;As said, this patient has been taking this in hopes of fighting depression he is dealing with while going through cancer treatments.;positive
3251;"Received IV in hospital x5 days for a very severe abscessed tooth leading to bone infection; developed hives with first dose, so they gave me benadryl every 6 hours. After being discharged, I took the oral Cleocin for about 5-6 weeks, along with benadryl. I developed severe itching (mostly in the legs and back, some in the neck area) and severe bruising as a result of trying to relieve the itch. The itching, hives and bruising dissipated about 2-4 weeks after final dose.";negative
1500;I was prescribed Metrogel for my moderate case of Rosacia. I took the prescription for almost 9 months. I applied a thin layer daily after washing my face in the evenings. After 9 months I expected to see a slight difference in appearance of my skin, but did not. The only noticeable affect I saw was how dry my skin became. And with it being a very expensive product, I was very disappointed.;negative
3492;"I used this drug after trying Wellbutrin, which made me too restless and hyper. It was proscribed by a psychiatrist, who was very well versed in pharmacology, for a depression that came about during menopause. I took it regularly for three years; it completely stopped negative thinking and enabled me to sleep deeply for the first time in several years. I had regular liver check-ups, but never had any decrease in correct liver functioning. After three years, I felt I was ready to cut back on the medication, which I did very, very gradually over the next year and a half so that there was no withdrawal period at all. I've been fine without it now for two years.";positive
2532;I was to take the drug for 12 weeks after having liver function studies performed. I did not experience any untowards side effects having taken the medication for ther prescribed 12 weeks. I did not miss any doses during that time.;negative
97;"I was diagnosed with Attention Deficit Disorder in my early 30's. I tried different treatments...ritalin (terrible side effects), adderall (didn't work well alone), Adderall with Effexor (Worked great but is hell on your sex life) and then Adderall with Wellbutrin. I took the Adderall with Welbutrin for 10 years but had to take ambien to sleep. Heart palpatations are another side effect of that combo. Menepause hit a couple of years ago and nothing seemed to work well and I developed major anxiety issues. I started on Estrogen replacement and then asked my Dr what we could try that was closer to the Effexor I tried years ago. That's when we tried Pristiq. He seemed amazed at the results. I do not need a ""drug cocktail"" anymore....I felt like Elvis for years. I love my life again!";positive
1197;Took for several months, told my doctor it was NOT making a difference so she doubled the dose to 40 mg. I couldn't stand the thought of putting more chemicals in my body if they weren't doing anything so I never filled the doubled prescription and focused on counseling, which made a difference.;negative
247;Given for major depression. One 150mg pill per day. I still take the same dosage as I started out on. I am afraid to up my dose because Wellbutrin can cause seizures in many people.;positive
1968;The treament consisted of taking lyrica 75mg once in the morning and again a bed. Take the soma as needed and the morphine every 12 hours.;positive
2911;As I began having severe sciatic nerve pain, the doctor prescribed tramadol to help with the pain. I was also receiving physical therapy and the tramadol helped me to tolerate that until it began to help correct the sciatica.;positive
3188;I started with a half pill, then it was increased to 1 due to ineffectiveness. It was increased to 1 1/2, then 2 pills.;negative
1030;Vyvanse really does help me focus on school work and also at work. I'm better in tests and homework problems. I became a better listener in converstations, i do feel happier, not mood swings. I believe i have a better understanding in tasks and i dont feel as hyper as i use to.;positive
1669;tenormin 25 twice daily felodipine 10 mg once daily Losartan 50 mg and hydrochlorothiazide 12.5 mg once daily Regular exercise moderate salt restiction smoking cessation and alcohol moderation stress management techniques like yoga or meditation;positive
1176;Doctor suggested to take Prozac at night time and Ritalin twice a day. So far it has worked for me a patient suffering depression for more than 15 years and it has helped me the Ritalin. Cannot say about Prozac but I notice that I do not get anxiety attack with it.;negative
