token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
hate,3,2.9345,0.97817
bad,2,1.3899,0.69495
sad,2,1.3722,0.68608
painful,3,1.9427,0.64756
close,1,0.5398,0.53981
there was,1,0.5253,0.52527
dead,1,0.4995,0.49949
terrible,2,0.9947,0.49735
line,4,1.8415,0.46036
oh,2,0.9078,0.45389
here URL,1,0.4533,0.45332
failed,1,0.4409,0.44088
me,11,4.7563,0.43239
miserably,1,0.4173,0.41726
what does,1,0.415,0.41503
rounded,1,0.4113,0.41131
enough,1,0.3923,0.39234
warnings,1,0.3821,0.38205
font,1,0.376,0.37602
that code,1,0.3725,0.37246
pain,3,1.1108,0.37025
hopeless,1,0.3692,0.36924
afraid,4,1.4734,0.36835
really hate,1,0.3645,0.36446
its really,1,0.361,0.36103
i mean,1,0.3598,0.35984
undefined,1,0.3583,0.35832
ugly,1,0.3554,0.35544
will not,3,1.0463,0.34875
constructor,1,0.3481,0.3481
10,2,0.6834,0.34172
inside the,1,0.3405,0.34055
given,1,0.3217,0.32173
error,2,0.6406,0.32031
can not,3,0.9492,0.31639
still,3,0.9463,0.31543
would you want,1,0.3002,0.30021
had to,1,0.2993,0.29928
to close,1,0.2865,0.28648
incredibly,2,0.5726,0.28632
why would you,1,0.2846,0.28461
this ?,2,0.5603,0.28013
a pain,2,0.559,0.27951
will still,1,0.2717,0.27167
row,1,0.268,0.26796
build,3,0.8032,0.26775
attribute,1,0.2674,0.26744
mean,5,1.3107,0.26214
next,1,0.2594,0.25937
org,1,0.2566,0.25664
very painful,1,0.256,0.25597
at this,1,0.2518,0.25183
on linux,1,0.2514,0.25142
thread,2,0.5018,0.25091
hate the,1,0.2453,0.24532
fyi,1,0.236,0.23605
again,3,0.7025,0.23416
i m afraid,3,0.7019,0.23395
m afraid,3,0.7019,0.23395
component,1,0.2339,0.23385
fails,1,0.2313,0.2313
test,2,0.459,0.22951
your class,1,0.2283,0.22827
changed,1,0.2273,0.22729
ie,2,0.4545,0.22726
extremely,3,0.6771,0.22571
to add the,2,0.4453,0.22265
rage,1,0.2212,0.22119
why,12,2.6478,0.22065
lines,2,0.4339,0.21693
wrong,1,0.2163,0.21628
automatically,3,0.6449,0.21497
really painful,2,0.4269,0.21344
at all,5,1.0672,0.21343
names,3,0.6348,0.21161
the method,1,0.2114,0.21143
container,1,0.2075,0.20754
a real,1,0.2062,0.2062
anyway,1,0.2046,0.20462
these,6,1.2255,0.20425
is a,11,2.2424,0.20386
setting the,1,0.2029,0.2029
this question is,1,0.2019,0.20187
that s,7,1.4012,0.20017
laptop,1,0.1998,0.19981
a year,1,0.1971,0.19714
link is,1,0.1971,0.19713
config,1,0.195,0.195
nothing,3,0.5782,0.19272
can this,1,0.192,0.19203
can this be,1,0.192,0.19203
you have,10,1.8926,0.18926
notice,1,0.1885,0.18851
have no,2,0.3757,0.18786
resources that,1,0.1859,0.1859
add the,2,0.3698,0.18492
painful to,1,0.1846,0.18455
very,8,1.4743,0.18429
about ie,1,0.1843,0.18426
break,1,0.1829,0.18285
am,4,0.728,0.18199
