id;text;polarity
1572;i was experiencing severe PMS symptoms - upon further testing, it was found that i had an ovarian cyst and used this treatment for anxiety symptoms until my surgery.;positive
3030;I was prescribed with Seroquel after I was released from hospital after a period of deep depression to help me to sleep better and stop me from becoming hypomanic.;negative
2832;In the begining Singulair seem to work well controlling my allergies, however I slowly developed strong depression side effects. I've never had problems with depression before. The effects of the drug were slow and hard to notice any day to day change. However all depression side effects ended immediately when I quit taking Singulair. I'll never take this drug again.;negative
1938;I was prescribed this medication after being seen by a doctor for a severely infected cat bite wound on the top of my left foot (which the doctor was concerned might become a systemic infection). The foot and my entire left leg were very painful (especially upon movement), so the doctor had me take Ultram ER to help relieve the pain. I was told to take 1 tablet daily as needed. I did as instructed for two consecutive days and did not have any relief from my pain. After I reported this to my doctor, she gave me a prescription for a stronger pain reliever (which did help).;negative
2891;Spiractin originally prescribed for treatment of Conn's Syndrome, however some brease pain was experienced shortly after commencing the medication. Further consultation with treating doctor and Inspra was prescribed as alternative. Inspra commenced and side effects described above experienced so reverted to Spiractin after short time. Side effects ceased almost immediately, 48 to 72 hours after cessation of Inspra completed.;negative
3487;Morning Venlafaxine - 225 mg night before going to bed - diazepam 2mg and imovane 7.5 mg;negative
2994;HAD SURGERY TO REMOVE ABCESS AND PART OF COLON AND NOW TAKE TABLETS DAILY AND AM REVIEWED ANNUALLY BY COLONOSCOPY;positive
3600;I was to take 400 mg daily, but could not handle that. After letting the drug dissipate out of my system, I resumed it at very low doses (25-125 mg daily) plus herbal and homeopathic remedies. This finally, after several months, got rid of the fungus.;negative
3440;I am very delighted with the medecine, to the point where I feel addicted to it and don't ever want to go without it again. My skin feels much smoother, with almost no blemishes, except duting PMS times. I also feel like I look younger and healthier due to renuwed skin.;positive
3446;On day 15 of my cycle I took the Provera 10 mg for 12 days and then stopped to promote a period. It took a couple of cycles for this to become effective, but utilizing the drug in this manner did take care of the problem of irregular bleeding in between periods.;positive
514;i developed high blood pressure triggered, i feel, by stress from a divorce and possibly from hormone imbalance from stress due to the divorce and its ramifications. i would have headaches everyday and was checking my blood pressure while i was having a headache and at times when i did not have a headache. it was most definitely elevating during a headache. i tried one other medication first with no success. my Dr. switched me to atenolol with good results. It also corrected the occasional premature cardiac beats I was having. the dosage is low so i continue to take it for the normal sinus rhythm as my blood pressure problem is now resolved.;positive
1482;Prescribed to act synergistically with stimulants prescribed for ADHD: the stimulants tend to increase anxiety, which also increases the necessary therapeutic dose for the stimulants, so this very low dose of the multiple reuptake inhibitor effectively reduces the dosage needed of the stimulant for therapeutic effect. This combination enabled me to reduce my stimulant dosage by 50% and also decreased my anxiety very substantially--the effect was almost immediately remarked on by my partner as well as in my own subjective opinion.;positive
1653;Clomid was given on days 3-7 of the menstrual cycle, one 50 mg pill by mouth per day, at the same time each day. Follicle progress was subsequently tracked via ultrasound. Side effects were minimal with the first round of treatment, more severe with the 2nd onward. I have no known allergies or sensitivities to other medications, other than topical iodine.;negative
730;My dermatologist prescribed hydroquinone 4% cream to helped me with a light hyperpigmentation problem. However, hydroquinone did not work at all. I had the opposite effect. My hyperpigmentation became darker.;negative
4073;During the second week, I noticed I felt bad and drained. By the beginning of the third week, I had a positive test for a urinary track infection. I was given Cipro. Three days into the Cipro, there was no change. I also was waking up at odd times of the night, which is odd because the Lyrica puts me into a deep sleep. I knew then that I was having side effects. I looked on this site and read the clinical studies that listed all my issues.;positive
2276;Doctor prescribed lexapro when I had seen him about black moods & depression which is something I have had on and off since I was very young. Depression was starting to effect my family life so felt I needed to see a doctor, he prescribed me lexapro as it helps with depression & anxiety. I was prescribed 10mg and take one tablet daily. I visit the doctor regularly to update progress on lexapro;positive
797;It is a GODSEND. Fully rested in the am and feel like a new person. I am convinced it has kept me from sliding into a full depression. It works on 3 levels for me: 1. My body gets rest so I can 'fight' for another day. 2. My brain heals. 3. I can endure a difficult day knowing I can take the pill and go to sleep. I consider it a miracle cure for preventing a full blown depression. Wish I had it available to me years ago...could have changed my life. I would recommend to anyone in for a good experience while getting to sleep!;positive
3634;Cleanse face with a mild soap each night. While skin is still wet, apply Retin A (pea sized amount will cover entire face). Allow to air dry completely. Wash off in AM, pat dry, and apply moisturizer/sunscreen.;positive
4144;Drug prescribed for pain after surgery. If I had taken drug a few hours after surgery, anticipating the incision might be become painful, the outcome might have been different. Because I waited, I took one pill about 9 p.m., another about 11 p.m. and it was not until midnight that I got any relief. The next morning, I was nauseous and and light headed. I don't take any medication, so the impact of the drug in my system was noticeable and not pleasant. On second day after surgery, I took a couple of Advil. After that, nothing.;negative
3942;It's pill you take 20 minutes before eating breakfast. It stops the acid from the stomach backing up into the esopogus.;positive
1586;I took Xanax on a prn basis. Currently I am not taking it at all. I was diagnosed with panic disorder and fortunately was perscribed Xanax. Xanax helped prevent panic attacks and allowed me the opportunity to explore non-medicinal forms of managing the attacks.;positive
2952;I began taking 150mg/d two weeks/ 14 days before my actual quit date. On the quit date, I also started a series of yoga classes and regular physical activity through the first few months of smoking cessation. I decided to continue taking Zyban beyond the recommended period to a full 3 months at 1 dose daily. In my experience, I would recommend a lower daily dosage of 150mg/d for a longer extended period of time given my success in using Zyban in this manner.;positive
2556;I spread this on my entire face every night on clean skin. In the winter, I follow with a moisturizer. In the morning, I use metrogel daily. When I have more of a breakout - and it's hard for me to sometimes differentiate acne from rosacea - I will also take Oracea for a week. If I know that I will be spending quite a bit of time outside then I will take a break from it.;positive
114;This drug should not have been given to this patient. It killed him. He never recovered from this stroke- Right side paralysis and unable to eat or drink/swallow ever again;negative
132;I had had herpes for years before I was prescribed Valtrex (previous treatments were Acyclovir). It was prescribed on the second day after the sores appeared and I noticed the improvement the next day - the pain was almost gone. I took two pills per day, one in the morning and one in the evening, for 7 days, after which the remission was longer than the previous ones (sometimes, the outbreaks happened as often as every two weeks), about two months. After that, I started taking 2 pills of Valtrex the day I started feeling the outbreak (a nasty, gnawing feeling in the area where the sores would appear) and if it does not prevent the outbreak entirely, it lasts much shorter, is much less painful, and each time the remissions are rather long.;positive
15;The first dayI started taking the medication 500mg 12 hrs apart. Then my stomach was hurting and I had diarrhea. I decreased the dosage (on my own, which I would not advise others to do) because I have a history of pseudo-membranous colitis, and I need to be cautious of antibiotics. However, I needed the med for the kidney infection. On days 2-5 I took 250mg 3 times a day (eight hrs apart). This reduction in dosage relieved the stomach pain and the diarrhea. After the third day of antibiotics, I noticed a decrease in back pain so I knew the medication was working.;positive
3058;Took this drug as needed and the results are very good for reliveing severe pain.;positive
151;I had a cold for 6 days that would not go away. Thick green mucus from the nose and coughing up green/ grey mucus, low grade fever. My doctor prescribed Azithromycin for the sinus/ lung infection. I took 2 pills the first day and then 1 pill for the next 4 days. On the second day I felt halfway better, fever and aches gone. Mucus became more yellow than green and had a reduction of symptoms. By the 3rd day, nasal mucus was yellow and was coughing much less. By the 4th day I felt much better, nose still producing mucus and slight coughing, but no longer as much production of mucus. By day 5, I had no color to mucus and felt like lungs were pretty much clearing out, nose still a little runny.;positive
1669;tenormin 25 twice daily felodipine 10 mg once daily Losartan 50 mg and hydrochlorothiazide 12.5 mg once daily Regular exercise moderate salt restiction smoking cessation and alcohol moderation stress management techniques like yoga or meditation;positive
3333;I cleanse and apply elocon twice daily to my face and take antibiotics twice a day for 3 months my face cleared but returned after discontinuation of therapy. Now my dermatologist has restarted the antibiotics orally and added retinoid cream twice a day.;positive
196;i was prescribed 60 tablets of 20 mg. he told me to experiment myself as to what dosage worked for me, not exceeding 2 whole pills daily. normally i take one whole pill in the morning at 6:30-7 @ 1/2 at 12 and 1/2 before work at 4 pm. sometimes on the weekend i'll only take 1 because i try to have extras in case needed at another time & i dont want to build up tolerance;positive
3876;I have been taking Levoxyl for 7 years. In that time, I have had no problems with depression and was able to cease taking an antidepressant. My metabolism is regular. I have no problems with fatigue.;positive
1501;treatment details? What details? I have rosacea and metrogel is NOT effective, and made symptoms worse and now they don't go away at all. Thanks to our fantastic government regulations, pharmacuticals are approved by ignorant monkeys while effective, natural cures are ignored. The best way to ease your rosacea is go on a diet of lemon water and plain, boiled chicken for a week. Take about 2 gm of pantothenic acid a day. It sucks, but it will clear it up. I'm sure a doctor will argue it and insist that some Gualderm product is better, but we all know how that works....;negative
209;After washing my face with gentle cleanser, I applied a small amount of Elidel to my entire face, before following up with a moisturizer (or two), then sunscreen.;positive
